Location,Population,Year
Dewey-Humboldt,3951,2013
Douglas,16915,2013
Duncan,750,2013
Eagar,4916,2013
El Mirage,32998,2013
Eloy,16996,2013
Flagstaff,68667,2013
Florence,25428,2013
Fountain Hills,23235,2013
Fredonia,1307,2013
Gila Bend,1977,2013
Gilbert,229972,2013
Glendale,234632,2013
Globe,7404,2013
Goodyear,72864,2013
Guadalupe,6072,2013
Hayden,650,2013
Holbrook,4996,2013
Huachuca,1794,2013
Jerome,448,2013
Kearny,2030,2013
Kingman,28393,2013
Lake Havasu,52844,2013
Litchfield Park,5306,2013
Mammoth,1484,2013
Marana,38290,2013
Maricopa,45508,2013
Mesa,457587,2013
Miami,1794,2013
Nogales,20456,2013
Oro Valley,41627,2013
Page,7326,2013
Paradise Valley,13387,2013
Parker,3073,2013
Patagonia,896,2013
Payson,15245,2013
Peoria,162592,2013
Phoenix,1513367,2013
Pima,2466,2013
Pinetop-Lakeside,4297,2013
Prescott,40590,2013
Prescott Valley,39791,2013
Quartzsite,3643,2013
Queen Creek,29673,2013
Safford,9602,2013
Sahuarita,26870,2013
St. Johns,3503,2013
San Luis,31180,2013
Scottsdale,226918,2013
Sedona,10111,2013
Show Low,10730,2013
Sierra Vista,45129,2013
Snowflake,5576,2013
Somerton,14994,2013
South Tucson,5696,2013
Springerville,1967,2013
Star Valley,2278,2013
Superior,2896,2013
Surprise,123546,2013
Taylor,4115,2013
Tempe,168228,2013
Thatcher,4957,2013
Tolleson,6756,2013
Tombstone,1338,2013
Tucson,526116,2013
Tusayan,573,2013
Wellton,2908,2013
Wickenburg,6604,2013
Willcox,3641,2013
Williams,3001,2013
Winkelman,347,2013
Winslow,9479,2013
Young,6331,2013
Yuma,91923,2013
