city,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,avg_temp
Florence,AZ,Arizona,4021,Pinal,33.059,-111.4209,16935,160,polygon,FALSE,TRUE,America/Phoenix,3,85132,1840021999,93.5
Flowing Springs,AZ,Arizona,4007,Gila,34.3131,-111.3379,44,9,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840027970,82
Flowing Wells,AZ,Arizona,4019,Pima,32.2937,-111.011,14972,1518,polygon,FALSE,FALSE,America/Phoenix,3,85705,1840027988,89.5
Fort Apache,AZ,Arizona,4017,Navajo,33.7907,-109.9873,186,63,polygon,FALSE,FALSE,America/Phoenix,3,85926,1840022575,70
Fort Defiance,AZ,Arizona,4001,Apache,35.7469,-109.0685,4118,261,polygon,FALSE,FALSE,America/Denver,3,86504,1840017675,72.5
Fort Mohave,AZ,Arizona,4015,Mohave,35.0004,-114.5748,14583,337,polygon,FALSE,TRUE,America/Phoenix,3,86426 86427,1840042961,100
Fort Thomas,AZ,Arizona,4009,Graham,33.0222,-109.9665,577,25,polygon,FALSE,FALSE,America/Phoenix,3,85536,1840022959,89.5
Fort Valley,AZ,Arizona,4005,Coconino,35.2554,-111.7253,1195,60,polygon,FALSE,TRUE,America/Phoenix,3,86001,1840075372,66.5
Fortuna Foothills,AZ,Arizona,4027,Yuma,32.6616,-114.3973,28200,271,polygon,FALSE,FALSE,America/Phoenix,3,85367,1840027989,98.5
Fountain Hills,AZ,Arizona,4013,Maricopa,33.6073,-111.7398,24583,468,polygon,FALSE,TRUE,America/Phoenix,3,85268 85269,1840021945,98.5
Franklin,AZ,Arizona,4011,Greenlee,32.677,-109.072,37,14,polygon,FALSE,FALSE,America/Phoenix,3,85534,1840022950,83.5
Fredonia,AZ,Arizona,4005,Coconino,36.9617,-112.5195,1304,56,polygon,FALSE,TRUE,America/Phoenix,3,86022,1840021586,81
Freedom Acres,AZ,Arizona,4007,Gila,34.3199,-111.3051,113,24,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840027968,82
Gadsden,AZ,Arizona,4027,Yuma,32.5564,-114.781,502,98,polygon,FALSE,FALSE,America/Phoenix,3,85336,1840018027,98.5
Ganado,AZ,Arizona,4001,Apache,35.7016,-109.5504,1035,43,polygon,FALSE,FALSE,America/Denver,3,86505,1840017676,72.5
Geronimo Estates,AZ,Arizona,4007,Gila,34.3695,-111.3617,92,26,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840137528,77
Gila Bend,AZ,Arizona,4013,Maricopa,32.9662,-112.7155,2069,12,polygon,FALSE,TRUE,America/Phoenix,3,85337,1840021946,99
Gila Crossing,AZ,Arizona,4013,Maricopa,33.273,-112.1627,810,359,polygon,FALSE,FALSE,America/Phoenix,3,85339,1840025866,101
Gilbert,AZ,Arizona,4013,Maricopa,33.3103,-111.7463,242354,1374,polygon,FALSE,TRUE,America/Phoenix,2,85233 85234 85297 85296 85295 85298 85236 85299,1840021947,96
Gisela,AZ,Arizona,4007,Gila,34.1015,-111.2895,642,86,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840017946,82
Glendale,AZ,Arizona,4013,Maricopa,33.5797,-112.2258,246709,1601,polygon,FALSE,TRUE,America/Phoenix,2,85301 85303 85302 85304 85306 85308 85305 85307 85309 85310 85311 85312 85318,1840020563,97
Globe,AZ,Arizona,4007,Gila,33.3869,-110.7514,13198,155,polygon,FALSE,TRUE,America/Phoenix,3,85501 85502 85532,1840020533,84
Gold Canyon,AZ,Arizona,4021,Pinal,33.3715,-111.4369,10684,184,polygon,FALSE,FALSE,America/Phoenix,3,85118 85119,1840018032,93
Golden Shores,AZ,Arizona,4015,Mohave,34.7819,-114.4777,1294,61,polygon,FALSE,TRUE,America/Phoenix,3,86440 86436,1840075379,98.5
Golden Valley,AZ,Arizona,4015,Mohave,35.206,-114.2327,8694,42,polygon,FALSE,FALSE,America/Phoenix,3,86413,1840018339,90
Goodyear,AZ,Arizona,4013,Maricopa,33.2614,-112.3622,79858,161,polygon,FALSE,TRUE,America/Phoenix,3,85139 85338 85326 85340 85395,1840020564,98.5
Goodyear Village,AZ,Arizona,4021,Pinal,33.1973,-111.8724,236,27,polygon,FALSE,TRUE,America/Phoenix,3,85248 85121,1840042768,96
Grand Canyon Village,AZ,Arizona,4005,Coconino,36.0492,-112.1566,1438,41,polygon,FALSE,TRUE,America/Phoenix,3,86023,1840074025,77.5
Grand Canyon West,AZ,Arizona,4015,Mohave,35.9998,-113.8103,0,0,polygon,FALSE,TRUE,America/Phoenix,3,86434,1840075383,85.5
Greasewood,AZ,Arizona,4017,Navajo,35.5279,-109.8613,502,36,polygon,FALSE,FALSE,America/Denver,3,86505,1840017656,78
Green Valley,AZ,Arizona,4019,Pima,31.8437,-111.0172,21912,262,polygon,FALSE,FALSE,America/Phoenix,3,85622 85614,1840018111,88.5
Greer,AZ,Arizona,4001,Apache,34.0053,-109.4611,40,29,polygon,FALSE,FALSE,America/Phoenix,3,85927,1840022621,63
Gu Oidak,AZ,Arizona,4019,Pima,31.9206,-112.0233,98,5,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023070,92
Guadalupe,AZ,Arizona,4013,Maricopa,33.3664,-111.9633,6525,3134,polygon,FALSE,TRUE,America/Phoenix,2,85283,1840021948,96
Hackberry,AZ,Arizona,4015,Mohave,35.3401,-113.7256,101,2,polygon,FALSE,FALSE,America/Phoenix,3,86411 86401,1840023178,87.5
Haigler Creek,AZ,Arizona,4007,Gila,34.2163,-110.9719,29,6,polygon,FALSE,TRUE,America/Phoenix,3,85554,1840075384,78.5
Haivana Nakya,AZ,Arizona,4019,Pima,32.0051,-111.7124,143,29,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023071,92
Hard Rock,AZ,Arizona,4017,Navajo,36.0309,-110.5048,85,5,polygon,FALSE,TRUE,America/Denver,3,86039,1840075388,78
Hayden,AZ,Arizona,4007,Gila,32.9995,-110.7814,631,192,polygon,FALSE,TRUE,America/Phoenix,3,85135 85192,1840021911,88
Heber-Overgaard,AZ,Arizona,4017,Navajo,34.4141,-110.5696,2408,135,polygon,FALSE,TRUE,America/Phoenix,3,85933 85928,1840074050,73.5
Holbrook,AZ,Arizona,4017,Navajo,34.9044,-110.1672,3797,112,polygon,FALSE,TRUE,America/Phoenix,3,86025,1840020334,78
Hondah,AZ,Arizona,4017,Navajo,34.086,-109.9149,991,31,polygon,FALSE,TRUE,America/Phoenix,3,85935 85930,1840075391,70.5
Hotevilla-Bacavi,AZ,Arizona,4017,Navajo,35.9225,-110.6569,1250,41,polygon,FALSE,TRUE,America/Phoenix,3,86030,1840027979,78
