city,lat,lng,station,avg temp F August 2018,zips
Nogales,31.3624,-110.9336,NOGALES INTL AP,84,85621
Sunwest,33.650999999999996,-113.4091,SMITH PEAK ,95,85348
Elgin,31.668000000000003,-110.5347,ELGIN,76.5,85611
Window Rock,35.6705,-109.0639,WINDOW ROCK AIRPORT,72.5,86515
Bryce,32.9258,-109.8229,SAFFORD AGRICULTURAL CENTER,87.5,85543
Dilkon,35.3606,-110.3155,HOPI ,78,86047
Bowie,32.3247,-109.4842,SAN SIMON,84.5,85605
Arivaca Junction,31.739,-111.0738,GREEN VALLEY,88.5,85645
Arizona City,32.7506,-111.6707, CITY,92.5,85193 85123
Meadview,35.9532,-114.0789,TRUXTON CANYON ,85.5,86444
Walnut Creek,35.1312,-114.1267,KINGMAN AIRPORT,87.5,86413
Fort Thomas,33.0222,-109.9665,BLACK HILLS,89.5,85536
Sun Lakes,33.2172,-111.8695,TEMPE,96,85248
San Jose,32.8169,-109.5957,SAFFORD MUNICIPAL AP,90.5,85546
Mead Ranch,34.3462,-111.1428,PROMONTORY ,69,85541
Central,32.8692,-109.7908,SAFFORD AGRICULTURAL CENTER,87.5,85531 85543
White Mountain Lake,34.3441,-109.9878,SHOW LOW AIRPORT,70,85912 85901
Ganado,35.7016,-109.5504,WINDOW ROCK AIRPORT,72.5,86505
Kino Springs,31.3641,-110.8095,NOGALES INTL AP,84,85621
Cibecue,34.0332,-110.4854,LIMESTONE CANYON ,74,85911
Donovan Estates,32.7094,-114.6782,YUMA QUARTERMASTER DEPOT,97.5,85364
Salome,33.7778,-113.6061,SMITH PEAK ,95,85348
Tanque Verde,32.2687,-110.7437,DESTINY RANCH,91.5,85749 85748
Picacho,32.709,-111.4907,PICACHO 8 SE,93,85141
Catalina Foothills,32.3041,-110.8835,SAGUARO ,93,85718 85750 85715 85728
Taylor,34.4393,-110.1018,SHOW LOW AIRPORT,70,85939
Congress,34.1526,-112.8642,STANTON ,90,85332
Swift Trail Junction,32.7305,-109.7147,NOON CREEK ,81,85546
Oracle,32.6085,-110.7826,ORACLE STATE PARK,83,85623
Supai,36.2299,-112.6926,NIXON FLATS ,74.5,86435
Truxton,35.486999999999995,-113.5607,MUSIC MOUNTAIN ,81,86411 86434
Nelson,32.4298,-111.2649,TUCSON,93,85653
Stanfield,32.8793,-111.9636, CITY,92.5,85172
Hunter Creek,34.3054,-111.0159,PROMONTORY ,69,85541
Cameron,35.8537,-111.4269,WUPATKI NM,88.5,86020
Jerome,34.7466,-112.1072,JEROME,83.5,86331
Alamo Lake,34.2588,-113.5079,ALAMO DAM,94.5,85357
Coolidge,32.9395,-111.5261,CASA GRANDE NATL MONUMENT,93.5,85194 85128
Carefree,33.8234,-111.9161,CAREFREE,92,85377
Pinedale,34.3208,-110.2599,LIMESTONE CANYON ,74,85934
Huachuca City,31.6308,-110.3422,FT HUACHUCA PIONEER AIRFIELD,80,85616
Topock,34.7206,-114.478,HAVASU ,98.5,86436
Mojave Ranch Estates,34.9449,-114.5907,HAVASU ,98.5,86440
Wagon Wheel,34.1976,-110.0272,LAKESIDE ,73.5,85929 85901
San Luis,32.4911,-114.7089,YUMA MCAS - COOP,98.5,85350 85349
Cottonwood,34.7194,-112.0015,TUZIGOOT,88,86326
Golden Valley,35.205999999999996,-114.2327,UNION PASS ,90,86413
Paradise Valley,33.5434,-111.9595,SCOTTSDALE MUNICIPAL AP,98.5,85253
Palominas,31.3838,-110.1212,CORONADO NATIONAL MEMORIAL,76.5,85615
Oak Springs,35.4759,-109.1319,WINDOW ROCK AIRPORT,72.5,86511
East Verde Estates,34.2983,-111.3645,PAYSON ,82,85541
Thatcher,32.832,-109.7595,SAFFORD AGRICULTURAL CENTER,87.5,85552
Florence,33.059,-111.4209,CASA GRANDE NATL MONUMENT,93.5,85132
Charco,32.2474,-112.6001,AJO,95,85321
Linden,34.2625,-110.1424,SHOW LOW AIRPORT,70,85901
So-Hi,35.2527,-114.1415,KINGMAN AIRPORT,87.5,86413
Valle Vista,35.4109,-113.8627,KINGMAN AIRPORT,87.5,86401
Rillito,32.4157,-111.1549,TOHONO CHUL,89.5,85654 85653
Safford,32.8318,-109.7006,SAFFORD AGRICULTURAL CENTER,87.5,85546
Rye,34.0979,-111.3542,PAYSON ,82,85541
Gisela,34.1015,-111.2895,PAYSON ,82,85541
Claypool,33.406,-110.8421,GLOBE ,84,85539
South Tucson,32.1955,-110.9692,TUCSON INTERNATIONAL AIRPORT,93,85713
Chilchinbito,36.5027,-110.0512,BETATAKIN,77.5,86033
Chinle,36.1504,-109.5793,CANYON DE CHELLY,81.5,86503
Rock Point,36.7173,-109.6287,TEEC NOS POS,84.5,86545
Santa Cruz,33.2326,-112.1593,PHOENIX AIRPORT,101,85339
Peeples Valley,34.2773,-112.7654,STANTON ,90,85362 86332
Camp Verde,34.5699,-111.8573,VERDE ,88.5,86322
Douglas,31.3602,-109.5394,DOUGLAS,81,85608 85607 85655
Beaver Dam,36.9071,-113.9363,BEAVER DAM,96.5,86432
Many Farms,36.3532,-109.6271,CANYON DE CHELLY,81.5,86538 86503
Hayden,32.9995,-110.7814,HORSE CAMP CANYON ,88,85135 85192
Cibola,33.3733,-114.6792,QUARTZSITE,100,85334 85328
Pinetop-Lakeside,34.1486,-109.9658,LAKESIDE ,73.5,85935 85929
Pine Lake,35.0887,-113.8739,MOSS BASIN ,77.5,86401
El Capitan,33.2383,-110.7833,GLOBE ,84,85192 85501
Naco,31.343000000000004,-109.9337,BISBEE,75,85603 85620
Valentine,35.3886,-113.6591,MUSIC MOUNTAIN ,81,86437
Ali Chukson,31.9114,-111.8018,SELLES ,92,85634
Arlington,33.3346,-112.7747,PAINTED ROCK DAM,99,85322
Oljato-Monument Valley,36.9867,-110.191,BETATAKIN,77.5,84536
Red Mesa,36.9664,-109.3828,TEEC NOS POS,84.5,86514
Whetstone,31.7011,-110.3398,FT HUACHUCA PIONEER AIRFIELD,80,85616
Tsaile,36.3033,-109.2157,BEAVER SPRING,70,86556 86507
Mohave Valley,34.9008,-114.5732,HAVASU ,98.5,86440
Prescott,34.585,-112.4475,PRESCOTT,79,86305 86301 86303 86313 86302 86304
